height,prop
0,0.23317
1,0.15457
2,0.10506
3,0.07335
4,0.05355
5,0.03936
6,0.02885
7,0.02168
8,0.01673
9,0.01316
10,0.01077
11,0.00936
12,0.00871
13,0.00854
14,0.00877
15,0.00937
16,0.01009
17,0.01088
18,0.01151
19,0.01175
20,0.01167
21,0.01137
22,0.01079
23,0.01008
24,0.00924
25,0.00842
26,0.00757
27,0.00664
28,0.00578
29,0.00502
30,0.00429
31,0.00352
32,0.00296
33,0.00242
34,0.00202
35,0.00165
36,0.00137
37,0.00109
38,0.00088
39,0.00069
40,0.00054
41,0.00041
42,0.00032
43,0.00025
44,0.00019
45,0.00014
46,0.00011
47,0.00009
48,0.00007
49,0.00005
50,0.00004
51,0.00003
52,0.00002
53,0.00002
54,0.00002
55,0.00001
56,0.00001
57,0.00001
58,0.00001
59,0.00001
60,0.00001
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0.00001
79,0.00001
80,0.00001
81,0.00001
82,0.00001
83,0.00001
84,0.00002
85,0.00002
86,0.00003
87,0.00003
88,0.00004
89,0.00004
90,0.00005
91,0.00006
92,0.00007
93,0.00009
94,0.0001
95,0.00012
96,0.00014
97,0.00016
98,0.00018
99,0.0002
100,0.00021
101,0.00022
102,0.00022
103,0.00022
104,0.00021
105,0.0002
106,0.00019
107,0.00017
108,0.00014
109,0.00012
110,0.0001
111,0.00009
112,0.00007
113,0.00006
114,0.00005
115,0.00004
116,0.00003
117,0.00002
118,0.00001
119,0.00001
120,0.00001
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
