height,prop
0,0.101973227
1,0.091583454
2,0.082252212
3,0.073871624
4,0.066344806
5,0.059584752
6,0.053513325
7,0.048060356
8,0.043162827
9,0.038764145
10,0.034813486
11,0.031265208
12,0.02807832
13,0.025216011
14,0.02264522
15,0.020336256
16,0.018262454
17,0.016399863
18,0.014726978
19,0.013224479
20,0.01188
21,0.01066
22,0.00957
23,0.00860
24,0.00772
25,0.00693
26,0.00622
27,0.00559
28,0.00501
29,0.00450
30,0.00404
31,0.00363
32,0.00326
33,0.00292
34,0.00262
35,0.00235
36,0.00211
37,0.00190
38,0.00170
39,0.00153
40,0.00137
41,0.00123
42,0.00110
43,0.00099
44,0.00089
45,0.000794431
46,0.00071234
47,0.000638669
48,0.000572557
49,0.000513234
50,0.000460006
51,0.000412251
52,0.000369409
53,0.000330978
54,0.000296507
55,0.000265591
56,0.000237866
57,0.000213004
58,0.000190713
59,0.000170728
60,0.000152814
61,0.000136757
62,0.000122367
63,0.000109472
64,0.0000979
65,0.0000876
66,0.0000783
67,0.00007
68,0.0000626
69,0.0000559
70,0.0000499
71,0.0000446
72,0.0000398
73,0.0000356
74,0.0000317
75,0.0000283
76,0.0000253
77,0.0000225
78,0.0000201
79,0.0000179
80,0.000016
81,0.0000142
82,0.0000127
83,0.0000113
84,0.00001
85,0.00000894
86,0.00000795
87,0.00000707
88,0.00000629
89,0.00000559
90,0.00000497
91,0.00000441
92,0.00000392
93,0.00000348
94,0.00000308
95,0.00000273
96,0.00000242
97,0.00000215
98,0.0000019
99,0.00000169
100,0.00000149
101,0.00000132
102,0.00000117
103,0.00000103
104,0.000000911
105,0.000000805
106,0.00000071
107,0.000000627
108,0.000000553
109,0.000000487
110,0.000000429
111,0.000000378
112,0.000000332
113,0.000000292
114,0.000000257
115,0.000000226
116,0.000000198
117,0.000000174
118,0.000000153
119,0.000000134
120,0.000000117
121,0.000000103
122,8.98E-08
123,7.85E-08
124,6.86E-08
125,5.99E-08
126,5.23E-08
127,4.56E-08
128,3.98E-08
129,3.46E-08
130,3.01E-08
131,2.62E-08
132,2.28E-08
133,1.98E-08
134,1.72E-08
135,1.49E-08
136,1.29E-08
137,1.12E-08
138,9.66E-09
139,8.35E-09
140,7.22E-09
141,6.23E-09
142,5.37E-09
143,4.63E-09
144,3.98E-09
145,3.43E-09
146,2.95E-09
147,2.53E-09
148,2.17E-09
149,1.86E-09
150,1.59E-09
151,1.36E-09
152,1.16E-09
153,9.94E-10
154,8.48E-10
155,7.23E-10
156,6.15E-10
157,5.23E-10
158,4.44E-10
159,3.77E-10
160,3.2E-10
161,2.71E-10
162,2.29E-10
163,1.94E-10
164,1.63E-10
165,1.38E-10
166,1.16E-10
167,9.77E-11
168,8.21E-11
169,6.89E-11
170,5.78E-11
171,4.84E-11
172,4.05E-11
173,3.38E-11
174,2.82E-11
175,2.35E-11
176,1.96E-11
177,1.63E-11
178,1.35E-11
179,1.12E-11
180,9.26E-12
181,7.66E-12
182,6.32E-12
183,5.21E-12
184,4.29E-12
185,3.53E-12
186,2.9E-12
187,2.38E-12
188,1.95E-12
189,1.59E-12
190,1.3E-12
191,1.06E-12
192,8.62E-13
193,7E-13
194,5.68E-13
195,4.6E-13
196,3.72E-13
197,3.01E-13
198,2.43E-13
199,1.95E-13
200,1.57E-13
201,1.26E-13
202,1.01E-13
203,8.07E-14
204,6.44E-14
205,5.14E-14
206,4.09E-14
207,3.25E-14
208,2.57E-14
209,2.04E-14
210,1.61E-14
211,1.27E-14
212,9.99E-15
213,7.85E-15
214,6.16E-15
215,4.82E-15
216,3.77E-15
217,2.94E-15
218,2.29E-15
219,1.78E-15
220,1.38E-15
221,1.07E-15
222,8.24E-16
223,6.35E-16
224,4.88E-16
225,3.75E-16
226,2.87E-16
227,2.19E-16
228,1.67E-16
229,1.27E-16
230,9.68E-17
231,7.34E-17
232,5.55E-17
233,4.19E-17
234,3.15E-17
235,2.37E-17
236,1.78E-17
237,1.33E-17
238,9.91E-18
239,7.37E-18
240,5.48E-18
241,4.06E-18
242,3E-18
243,2.21E-18
244,1.63E-18
245,1.19E-18
246,8.74E-19
247,6.39E-19
248,4.65E-19
249,3.38E-19
250,2.45E-19
251,1.77E-19
252,1.28E-19
253,9.19E-20
254,6.59E-20
255,4.72E-20
256,3.37E-20
257,2.4E-20
258,1.7E-20
259,1.2E-20
260,8.5E-21
261,5.98E-21
262,4.2E-21
263,2.94E-21
264,2.05E-21
265,1.43E-21
266,9.93E-22
267,6.87E-22
268,4.74E-22
269,3.26E-22
270,2.24E-22
271,1.53E-22
272,1.05E-22
273,7.11E-23
274,4.82E-23
275,3.26E-23
276,2.2E-23
277,1.48E-23
278,9.88E-24
279,6.6E-24
280,4.39E-24
281,2.91E-24
282,1.93E-24
283,1.27E-24
284,8.34E-25
285,5.46E-25
286,3.57E-25
287,2.32E-25
288,1.5E-25
289,9.72E-26
290,6.26E-26
291,4.02E-26
292,2.57E-26
293,1.64E-26
294,1.04E-26
295,6.59E-27
296,4.15E-27
297,2.61E-27
298,1.64E-27
299,1.02E-27
